Date,Source,Positive Words,Negative Words,Total Words,Sentiment Index
Jul-10,MPC,40,33,4964,0.0014101531023368251
Oct-10,MPC,63,49,12395,0.0011294876966518757
Jul-11,MPC,101,170,28214,-0.002445594385765932
Oct-11,MPC,58,64,12018,-0.0004992511233150275
Jul-12,MPC,15,63,4375,-0.010971428571428571
Oct-12,MPC,51,85,11725,-0.0028997867803837955
Jul-13,MPC,19,42,3890,-0.005912596401028277
Oct-13,MPC,21,18,3845,0.0007802340702210664
Jun-14,MPC,13,13,1749,0.0
Dec-14,MPC,17,26,2296,-0.0039198606271777
Jun-15,MPC,15,37,2362,-0.009314140558848433
Dec-15,MPC,15,20,2009,-0.0024888003982080635
Jun-16,MPC,13,14,2262,-0.0004420866489832007
Dec-16,MPC,18,50,4957,-0.0064555174500706075
Jun-17,MPC,52,71,7825,-0.0024281150159744407
Dec-17,MPC,68,66,6689,0.0002989983555090447
Jun-18,MPC,55,49,6892,0.0008705745792222867
Dec-18,MPC,48,82,7838,-0.004337841286042358
Jun-19,MPC,45,123,10202,-0.007645559694177613
Dec-19,MPC,64,92,9576,-0.0029239766081871343
Jun-20,MPC,48,130,8907,-0.009206242281351746
Dec-20,MPC,118,81,8767,0.004220371848979126
Jun-21,MPC,69,56,7470,0.0017402945113788486
Dec-21,MPC,90,84,8714,0.0006885471654808355
Jun-22,MPC,48,63,7958,-0.0018848957024377984
Dec-22,MPC,41,85,7611,-0.005781106293522533
Jun-23,MPC,55,46,7060,0.0012747875354107649
Dec-23,MPC,48,47,6279,0.00015926102882624622
Jun-24,MPC,50,36,7091,0.0019743336623889436
Dec-24,MPC,40,69,6569,-0.004414674988582737
Jun-25,MPC,44,35,6157,0.0014617508526879974
