Date,Source,Positive,Negative,Total_Words,Sentiment_Index,Polarity,Layer,URL
Jul-10,MPC,40,33,4964,0.0014101531023368,1.0,EXISTING_CSV,
Oct-10,MPC,63,49,12395,0.0011294876966518,1.0,EXISTING_CSV,
Jul-11,MPC,101,170,28214,-0.0024455943857659,-1.0,EXISTING_CSV,
Oct-11,MPC,58,64,12018,-0.000499251123315,-1.0,EXISTING_CSV,
Jul-12,MPC,15,63,4375,-0.0109714285714285,-1.0,EXISTING_CSV,
Oct-12,MPC,51,85,11725,-0.0028997867803837,-1.0,EXISTING_CSV,
Jul-13,MPC,19,42,3890,-0.0059125964010282,-1.0,EXISTING_CSV,
Oct-13,MPC,21,18,3845,0.000780234070221,1.0,EXISTING_CSV,
Jun-14,MPC,13,13,1749,0.0,0.0,EXISTING_CSV,
Dec-14,MPC,17,26,2296,-0.0039198606271777,-1.0,EXISTING_CSV,
Jun-15,MPC,15,37,2362,-0.0093141405588484,-1.0,EXISTING_CSV,
Dec-15,MPC,15,20,2009,-0.002488800398208,-1.0,EXISTING_CSV,
Jun-16,MPC,13,14,2262,-0.0004420866489832,-1.0,EXISTING_CSV,
Dec-16,MPC,18,50,4957,-0.0064555174500706,-1.0,EXISTING_CSV,
Jun-17,MPC,52,71,7825,-0.0024281150159744,-1.0,EXISTING_CSV,
Dec-17,MPC,68,66,6689,0.000298998355509,1.0,EXISTING_CSV,
Jun-18,MPC,55,49,6892,0.0008705745792222,1.0,EXISTING_CSV,
Dec-18,MPC,48,82,7838,-0.0043378412860423,-1.0,EXISTING_CSV,
Jun-19,MPC,45,123,10202,-0.0076455596941776,-1.0,EXISTING_CSV,
Dec-19,MPC,64,92,9576,-0.0029239766081871,-1.0,EXISTING_CSV,
Jun-20,MPC,48,130,8907,-0.0092062422813517,-1.0,EXISTING_CSV,
Dec-20,MPC,118,81,8767,0.0042203718489791,1.0,EXISTING_CSV,
Jun-21,MPC,69,56,7470,0.0017402945113788,1.0,EXISTING_CSV,
Dec-21,MPC,90,84,8714,0.0006885471654808,1.0,EXISTING_CSV,
Jun-22,MPC,48,63,7958,-0.0018848957024377,-1.0,EXISTING_CSV,
Dec-22,MPC,41,85,7611,-0.0057811062935225,-1.0,EXISTING_CSV,
Jun-23,MPC,55,46,7060,0.0012747875354107,1.0,EXISTING_CSV,
Dec-23,MPC,48,47,6279,0.0001592610288262,0.999999,EXISTING_CSV,
Jun-24,MPC,50,36,7091,0.0019743336623889,1.0,EXISTING_CSV,
Dec-24,MPC,40,69,6569,-0.0044146749885827,-1.0,EXISTING_CSV,
Jun-25,MPC,44,35,6157,0.0014617508526879,1.0,EXISTING_CSV,
