Impulse,Response,Period,IRF
MPC_Sentiment,MPC_Sentiment,0,1.0
MPC_Sentiment,MPC_Sentiment,1,-0.066918
MPC_Sentiment,MPC_Sentiment,2,-0.161073
MPC_Sentiment,MPC_Sentiment,3,-0.375985
MPC_Sentiment,MPC_Sentiment,4,-0.015224
MPC_Sentiment,MPC_Sentiment,5,0.089877
MPC_Sentiment,MPC_Sentiment,6,0.175995
MPC_Sentiment,MPC_Sentiment,7,0.032421
MPC_Sentiment,MPC_Sentiment,8,-0.104223
CPI_Inflation,MPC_Sentiment,0,0.0
CPI_Inflation,MPC_Sentiment,1,-0.000221
CPI_Inflation,MPC_Sentiment,2,3.9e-05
CPI_Inflation,MPC_Sentiment,3,0.000483
CPI_Inflation,MPC_Sentiment,4,0.000311
CPI_Inflation,MPC_Sentiment,5,-0.000202
CPI_Inflation,MPC_Sentiment,6,-0.000202
CPI_Inflation,MPC_Sentiment,7,8.7e-05
CPI_Inflation,MPC_Sentiment,8,0.000162
GDP_Growth,MPC_Sentiment,0,0.0
GDP_Growth,MPC_Sentiment,1,-0.000238
GDP_Growth,MPC_Sentiment,2,4e-05
GDP_Growth,MPC_Sentiment,3,-7e-05
GDP_Growth,MPC_Sentiment,4,3.3e-05
GDP_Growth,MPC_Sentiment,5,-5e-05
GDP_Growth,MPC_Sentiment,6,-1e-05
GDP_Growth,MPC_Sentiment,7,-4.8e-05
GDP_Growth,MPC_Sentiment,8,-3.7e-05
Nifty50,MPC_Sentiment,0,0.0
Nifty50,MPC_Sentiment,1,0.0
Nifty50,MPC_Sentiment,2,-0.0
Nifty50,MPC_Sentiment,3,1e-06
Nifty50,MPC_Sentiment,4,0.0
Nifty50,MPC_Sentiment,5,0.0
Nifty50,MPC_Sentiment,6,-0.0
Nifty50,MPC_Sentiment,7,0.0
Nifty50,MPC_Sentiment,8,0.0
MPC_Sentiment,CPI_Inflation,0,0.0
MPC_Sentiment,CPI_Inflation,1,-54.492259
MPC_Sentiment,CPI_Inflation,2,-121.976155
MPC_Sentiment,CPI_Inflation,3,88.925542
MPC_Sentiment,CPI_Inflation,4,71.364341
MPC_Sentiment,CPI_Inflation,5,-14.666506
MPC_Sentiment,CPI_Inflation,6,-63.692162
MPC_Sentiment,CPI_Inflation,7,-13.563558
MPC_Sentiment,CPI_Inflation,8,14.479373
CPI_Inflation,CPI_Inflation,0,1.0
CPI_Inflation,CPI_Inflation,1,0.916712
CPI_Inflation,CPI_Inflation,2,0.389866
CPI_Inflation,CPI_Inflation,3,0.362281
CPI_Inflation,CPI_Inflation,4,0.520719
CPI_Inflation,CPI_Inflation,5,0.415429
CPI_Inflation,CPI_Inflation,6,0.252522
CPI_Inflation,CPI_Inflation,7,0.27143
CPI_Inflation,CPI_Inflation,8,0.273961
GDP_Growth,CPI_Inflation,0,0.0
GDP_Growth,CPI_Inflation,1,-0.083005
