Date,Source,Positive Words,Negative Words,Total Words,Sentiment Index
Mar-10,FSR,302,495,52243,-0.0036942748310778476
Dec-10,FSR,354,578,57211,-0.003915330967820874
Jun-11,FSR,216,468,46969,-0.005365240903574698
Dec-11,FSR,152,516,46490,-0.007829640782964078
Jun-12,FSR,131,451,37513,-0.008530376136272758
Dec-12,FSR,162,485,40121,-0.008050646793449814
Jun-13,FSR,124,353,38313,-0.005977083496463341
Dec-13,FSR,132,430,37359,-0.007976658904146257
Jun-14,FSR,132,322,35444,-0.005360568784561562
Dec-14,FSR,123,265,35562,-0.0039930262639896515
Jun-15,FSR,140,308,40479,-0.004150300155636256
Dec-15,FSR,100,401,40119,-0.007502679528403001
Jun-16,FSR,135,373,44095,-0.005397437351173602
Dec-16,FSR,120,295,34599,-0.005057949651724038
Jun-17,FSR,131,271,37491,-0.003734229548424955
Dec-17,FSR,147,318,36129,-0.0047330399402142325
Jun-18,FSR,128,371,39520,-0.006148785425101215
Dec-18,FSR,161,373,42715,-0.004963127706894534
Jun-19,FSR,143,414,42512,-0.00637467068121942
Dec-19,FSR,119,410,44863,-0.006486414194324944
Jun-20,FSR,171,557,51833,-0.007446993228252272
Jan-21,FSR,229,487,45442,-0.005677567008494345
Jun-21,FSR,233,463,49974,-0.004602393244487133
Dec-21,FSR,213,481,51658,-0.005187967013821673
Jun-22,FSR,209,532,54712,-0.005903640883170054
Dec-22,FSR,261,567,61292,-0.004992494942243686
Jun-23,FSR,309,672,64813,-0.0056007282489623994
Dec-23,FSR,278,547,66473,-0.0040467558256735816
Jun-24,FSR,254,492,61948,-0.0038419319429198683
Dec-24,FSR,272,586,63512,-0.0049439476004534575
Jun-25,FSR,257,548,68376,-0.004255879255879256
