Date,MPC_Sentiment,MPC_Polarity,MPC_Positive,MPC_Negative,MPC_TotalWords,FSR_Sentiment,FSR_Polarity,FSR_Positive,FSR_Negative,FSR_TotalWords,FSSI_raw,FSSI,FSSI_smoothed,MPSI,MPSI_smoothed,Repo_Rate,Repo_Change,Stance,Event,Repo_Rate_macro,CPI_Inflation,WPI_Inflation,GDP_Growth,Bank_Credit_Growth,Nifty50,BankNifty,USD_INR,Nifty50_Return,BankNifty_Return,USD_INR_Return
2010-07-01,0.0014101531023368,1.0,40,33,4964,-0.0036942748310778,-1.0,302,495,52243,0.0036942748310778,0.0,0.0,81.50173995922664,81.5,5.75,,Dovish,,5.75,9.5,10.6,9.4,21.5,5292.2,9933.8,46.5,,,
2010-10-01,0.0011294876966518,1.0,63,49,12395,-0.0039153309678208,-1.0,354,578,57211,0.0039153309678208,4.570957529478203,2.29,79.65426041158874,80.58,6.25,0.5,Dovish,,6.25,9.8,9.5,8.8,23.0,5828.19,11848.87,45.45,0.1013,0.1928,-0.0226
2011-07-01,-0.0024455943857659,-1.0,101,170,28214,-0.0053652409035746,-1.0,216,468,46969,0.0053652409035746,34.551924516177145,13.04,56.12128878555824,72.43,7.5,1.25,Neutral,,7.5,8.9,9.4,7.5,20.0,5400.88,10673.01,44.95,-0.0733,-0.0992,-0.011
2011-10-01,-0.000499251123315,-1.0,58,64,12018,-0.007829640782964,-1.0,152,516,46490,0.007829640782964,85.51032517544708,41.54,68.93308994532282,68.24,8.5,1.0,Dovish,,8.5,9.1,9.8,6.7,17.0,5025.72,9388.75,48.83,-0.0695,-0.1203,0.0863
2012-07-01,-0.0109714285714285,-1.0,15,63,4375,-0.0085303761362727,-1.0,131,451,37513,0.0085303761362727,100.0,73.35,0.0,41.68,8.0,-0.5,Hawkish,,8.0,10.2,7.5,5.4,16.7,5172.66,10038.95,56.02,0.0292,0.0693,0.1472
2012-10-01,-0.0028997867803837,-1.0,51,85,11725,-0.0080506467934498,-1.0,162,485,40121,0.0080506467934498,90.08024620353632,91.86,53.13156813330645,40.69,8.0,0.0,Neutral,,8.0,10.4,7.3,5.2,15.3,5615.34,11218.62,54.36,0.0856,0.1175,-0.0296
2013-07-01,-0.0059125964010282,-1.0,19,42,3890,-0.0059770834964633,-1.0,124,353,38313,0.0059770834964633,47.20349143499797,79.09,33.29975401470269,28.81,7.25,-0.75,Hawkish,Taper Tantrum,7.25,9.8,5.0,4.6,16.5,5760.49,10789.34,61.19,0.0258,-0.0383,0.1256
2013-10-01,0.000780234070221,1.0,21,18,3845,-0.0079766589041462,-1.0,132,430,37359,0.0079766589041462,88.55033844035272,75.28,77.35529901948384,54.6,7.75,0.5,Dovish,,7.75,10.1,6.1,4.7,15.0,5920.59,10323.41,63.51,0.0278,-0.0432,0.0379
2014-06-01,0.0,0.0,13,13,1749,-0.0053605687845615,-1.0,132,322,35444,0.0053605687845615,34.45531531140137,56.74,72.21940960131528,60.96,8.0,0.25,Dovish,,8.0,8.3,5.7,5.7,11.9,7314.75,14539.52,59.9,0.2355,0.4084,-0.0568
2014-12-01,-0.0039198606271777,-1.0,17,26,2296,-0.0039930262639896,-1.0,123,265,35562,0.0039930262639896,6.177526359732871,43.06,46.41693380054031,65.33,8.0,0.0,Hawkish,,8.0,5.0,0.5,7.5,10.6,8500.51,18534.44,62.11,0.1621,0.2748,0.0369
2015-06-01,-0.0093141405588484,-1.0,15,37,2362,-0.0041503001556362,-1.0,140,308,40479,0.0041503001556362,9.429606531785044,16.69,10.909095477280069,43.18,7.25,-0.75,Hawkish,,7.25,5.4,-2.4,7.6,9.5,8379.12,18521.13,63.78,-0.0143,-0.0007,0.0269
2015-12-01,-0.002488800398208,-1.0,15,20,2009,-0.007502679528403,-1.0,100,401,40119,0.007502679528403,78.74948138977656,31.45,55.83688528336333,37.72,6.75,-0.5,Neutral,,6.75,5.6,-1.2,7.2,8.7,7877.74,16807.18,66.72,-0.0598,-0.0925,0.0461
2016-06-01,-0.0004420866489832,-1.0,13,14,2262,-0.0053974373511736,-1.0,135,373,44095,0.0053974373511736,35.217676649293445,41.13,69.30937499877184,45.35,6.5,-0.25,Dovish,,6.5,5.9,0.0,7.0,9.7,8234.04,17825.91,67.0,0.0452,0.0606,0.0042
