Variable,ADF_Stat,p_value,Lags,Crit_1pct,Crit_5pct,Stationary,Decision
MPC_Sentiment,-5.2379,0.0,0,-3.6699,-2.9641,Yes,Stationary I(0)
FSR_Sentiment,-3.307,0.0146,0,-3.6699,-2.9641,Yes,Stationary I(0)
MPSI,-5.2379,0.0,0,-3.6699,-2.9641,Yes,Stationary I(0)
FSSI,-3.307,0.0146,0,-3.6699,-2.9641,Yes,Stationary I(0)
Repo_Rate,-2.0028,0.2854,1,-3.6791,-2.9679,No,Non-Stationary — difference
CPI_Inflation,-2.7428,0.0669,5,-3.7239,-2.9865,No,Non-Stationary — difference
GDP_Growth,-4.3486,0.0004,0,-3.6699,-2.9641,Yes,Stationary I(0)
Bank_Credit_Growth,-3.1515,0.023,1,-3.6791,-2.9679,Yes,Stationary I(0)
Nifty50,1.3851,0.997,9,-3.7884,-3.0131,No,Non-Stationary — difference
USD_INR,-1.0072,0.7506,0,-3.6699,-2.9641,No,Non-Stationary — difference
