,MPC_Sentiment,FSR_Sentiment,MPSI,FSSI,Repo_Rate,CPI_Inflation,GDP_Growth,Bank_Credit_Growth,Nifty50,USD_INR
MPC_Sentiment,1.0,0.3079,1.0,-0.3079,-0.2127,0.0134,0.3283,0.1434,0.2664,0.071
FSR_Sentiment,0.3079,1.0,0.3079,-1.0,-0.227,-0.4421,0.3493,0.099,0.3958,0.1978
MPSI,1.0,0.3079,1.0,-0.3079,-0.2127,0.0134,0.3283,0.1434,0.2664,0.071
FSSI,-0.3079,-1.0,-0.3079,1.0,0.227,0.4421,-0.3493,-0.099,-0.3958,-0.1978
Repo_Rate,-0.2127,-0.227,-0.2127,0.227,1.0,0.3766,0.3146,0.4523,-0.4357,-0.4847
CPI_Inflation,0.0134,-0.4421,0.0134,0.4421,0.3766,1.0,-0.0002,0.4903,-0.4834,-0.6005
GDP_Growth,0.3283,0.3493,0.3283,-0.3493,0.3146,-0.0002,1.0,0.3839,0.0628,-0.136
Bank_Credit_Growth,0.1434,0.099,0.1434,-0.099,0.4523,0.4903,0.3839,1.0,-0.0662,-0.339
Nifty50,0.2664,0.3958,0.2664,-0.3958,-0.4357,-0.4834,0.0628,-0.0662,1.0,0.8928
USD_INR,0.071,0.1978,0.071,-0.1978,-0.4847,-0.6005,-0.136,-0.339,0.8928,1.0
